"nome_name_do_brasil","minuscula_sem_acento","maiuscula_sem_acento","first_sem_acento","minuscula_com_acento","maiuscula_com_acento","first_com_acento"
"ALBINO","albino","ALBINO","Albino","albino","ALBINO","Albino"
"ALBINOO","albinoo","ALBINOO","Albinoo","albinoo","ALBINOO","Albinoo"
"ALBISSU","albissu","ALBISSU","Albissu","albissu","ALBISSU","Albissu"
"ALBRECHT","albrecht","ALBRECHT","Albrecht","albrecht","ALBRECHT","Albrecht"
"ALBUQUERQUE","albuquerque","ALBUQUERQUE","Albuquerque","albuquerque","ALBUQUERQUE","Albuquerque"
"ALCANTARA","alcantara","ALCANTARA","Alcantara","alcantara","ALCANTARA","Alcantara"
"ALCAZAR","alcazar","ALCAZAR","Alcazar","alcazar","ALCAZAR","Alcazar"
"ALCEMAR","alcemar","ALCEMAR","Alcemar","alcemar","ALCEMAR","Alcemar"
"ALCENIRA","alcenira","ALCENIRA","Alcenira","alcenira","ALCENIRA","Alcenira"
"ALCENO","alceno","ALCENO","Alceno","alceno","ALCENO","Alceno"
"ALCENY","alceny","ALCENY","Alceny","alceny","ALCENY","Alceny"
"ALCERI","alceri","ALCERI","Alceri","alceri","ALCERI","Alceri"
"ALCERITO","alcerito","ALCERITO","Alcerito","alcerito","ALCERITO","Alcerito"
"ALCEU","alceu","ALCEU","Alceu","alceu","ALCEU","Alceu"
"ALCHIMIN","alchimin","ALCHIMIN","Alchimin","alchimin","ALCHIMIN","Alchimin"
"ALCIANE","alciane","ALCIANE","Alciane","alciane","ALCIANE","Alciane"
"ALCICI","alcici","ALCICI","Alcici","alcici","ALCICI","Alcici"
